Country of president,President name,Destination country,Destination city,"Date start, yyyy-mm-dd","Date start, d.m.yyyyy","Date end, yyyy-mm-dd","Date end, d.m.yyyy",Subject,Source,More info
China,Hu Jintao,Brazil,Brasilia,2010-04-15,15.4.2010,2010-04-15,15.4.2010,"Hu Jintao attended the second summit meeting of BRIC (Brazil, Russia, India and China) leaders.",http://news.xinhuanet.com/english2010/china/2010-04/16/c_13253529.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=8298
China,Hu Jintao,Russia,Moscow,2010-05-08,8.5.2010,2010-05-09,9.5.2010,"Hu Jintao met with representatives of the Russian war veterans who helped China battle Japanese troops in the World Anti-Fascist War., Hu Jintao met with Russian Prime Minister Vladimir Putin., Hu Jintao joined other state leaders in celebrations marking the 65th anniversary of Russia's victory., Hu Jintao met with Russian President Dmitry Medvedev.",http://news.xinhuanet.com/english2010/china/2010-05/09/c_13284332.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=8342
China,Hu Jintao,Uzbekistan,Tashkent,2010-06-09,9.6.2010,2010-06-11,11.6.2010,"Hu Jintao met with Uzbekistan's President Islam Karimov., Hu Jintao met with Tajik President Emomali Rakhmon., Hu Jintao met with Russian President Dmitri Medvedev., Hu Jintao attended the Shanghai Cooperation Organization (SCO) summit., Hu Jintao met with President of Turkmenistan Gurbanguly Berdymukhamedov.",http://news.xinhuanet.com/english2010/china/2010-06/11/c_13345884.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=8436
China,Hu Jintao,Kazakhstan,Astana,2010-06-12,12.6.2010,2010-06-12,12.6.2010,Hu Jintao met with Kazakh President Nursultan Nazarbayev.,http://news.xinhuanet.com/english2010/china/2010-06/12/c_13346899.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=8440
China,Hu Jintao,Canada,Toronto,2010-06-23,23.6.2010,2010-06-28,28.6.2010,"Hu Jintao arrived at the airport in Ottawa for a state visit to Canada., Hu Jintao held talks with Canadian Prime Minister Stephen Harper., Hu Jintao met with Canadian Senate Speaker Noel A. Kinsella and Speaker of the House of Commons Peter Milliken., Hu Jintao met with British Prime Minister David Cameron., Hu Jintao met with Russian President Dmitry Medvedev., Hu Jintao met with U.S. President Barack Obama., Hu Jintao attended a plenary session of the fourth summit of the Group of 20 (G20)., Hu Jintao met with Japanese Prime Minister Kan Naoto., Hu Jintao met with South Korean President Lee Myung-bak.",http://news.xinhuanet.com/english2010/china/2010-06/28/c_13372323.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=8476
China,Hu Jintao,France,Nice,2010-11-04,4.11.2010,2010-11-06,6.11.2010,"Chinese president calls for strengthening Sino-French exchanges, cooperation, China, France pledge to strengthen comprehensive strategic partnership
, Chinese president arrives in Paris for state visit, Hu Jintao Holds Talks Once Again with Sarkozy, Chinese president calls for new areas, richer content in China-France partnership, Chinese president calls for concerted G20 efforts to back economic recovery, Chinese, French presidents meet on bilateral ties, Chinese president meets French leaders on bilateral ties, G20 , Chinese president wraps up visit to France",http://news.xinhuanet.com/english2010/china/2010-11/06/c_13594308.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=9261
China,Hu Jintao,Portugal,Lisbon,2010-11-06,6.11.2010,2010-11-08,8.11.2010,"Chinese president arrives in Lisbon for state visit, Chinese, Portuguese leaders talk on cooperation , Chinese president concludes Portugal trip, Chinese president hugs Portuguese cavalryman during visit, Chinese president concludes Portugal trip, Chinese president meets Portuguese PM on bilateral ties, New page in China-Portugal relations, China, Portugal pledge to step up strategic partnership",http://news.xinhuanet.com/english2010/china/2010-11/08/c_13596252.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=9283
China,Hu Jintao,South Korea,Seoul,2010-11-11,11.11.2010,2010-11-12,12.11.2010,"Chinese president arrives in Seoul for G20 summit, Chinese, South Korean presidents discuss bilateral ties, China, U.S. presidents agree to further boost ties, Chinese, Russian presidents meet in Seoul on cooperation, Chinese president attends G20 Seoul Summit",http://news.xinhuanet.com/english2010/china/2010-11/12/c_13603055.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=9343
China,Hu Jintao,Japan,Yokohama,2010-11-12,12.11.2010,2010-11-13,13.11.2010,"Chinese president arrives in Japan for APEC meeting, Hu Jintao, KMT honorary chairman meet on cross-strait ties , Chinese president puts forward growth proposal at APEC summit, Chinese president meets Hong Kong SAR chief executive, Chinese president says Asia-Pacific emerging markets contribute much to world development, face daunting challenges , Chinese president puts forward growth proposal at APEC summit, Chinese president meets Japanese PM on sidelines of APEC meeting, President Hu meets with KMT Honorary Chairman Lien Chan",http://news.xinhuanet.com/english2010/photo/2010-11/13/c_13604686.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=9353
China,Hu Jintao,United States of America,Chicago,2011-01-18,18.1.2011,2011-01-21,21.1.2011,"Chinese president starts state visit to U.S., President Hu Jintao Meets with Former U.S. President Clinton, Chinese president looks to entrepreneurs to boost China-U.S. ties, Chinese president vows to advance positive, cooperative and comprehensive relationship with U.S., Chinese President Hu says to further increase people-to-people exchanges with U.S., Hu, Obama set new tone for relations, Chinese president attends private dinner hosted by Obama, President Hu calls for China-U.S. cooperation to meet global challenges, China, U.S. to build cooperative partnership of mutual respect and mutual benefit , China, U.S. aim at cooperative partnership for global benefits , President Hu says important consensus reached in talks with Obama, China, U.S. aim at cooperative partnership for global benefits , Full text of Hu's speech at welcome luncheon by U.S. friendly organizations, Chinese President Hu attends luncheon by U.S. friendly organizations, Chinese president initiates proposal to advance Sino-U.S. relations, Chinese president sees broader basis for Sino-U.S. cooperation on global issues, Chinese president in Chicago to continue U.S. visit, Hu's visit brings U.S., China closer: former U.S. defense secretary, Chinese president in Chicago to continue U.S. visit, Chinese president urges U.S. Congress to further facilitate bilateral ties, Obama says U.S. welcomes China's peaceful rise, Chinese president says China committed to protecting human rights, Hu's visit opens new chapter in relations, Hu: Foreign investors treated equally in China, Chinese president tours high school in Chicago, Chinese president visits exhibition of U.S. Midwest companies, Chinese president ends state visit to United States of America",http://news.xinhuanet.com/english2010/china/2011-01/22/c_13702069.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=10015
China,Hu Jintao,Australia,Canberra,2011-04-24,24.4.2011,2011-04-24,24.4.2011,Australian PM's visit to China will enhance trust and promote cooperation: Chinese Ambassador to Australia,http://news.xinhuanet.com/english2010/china/2011-04/24/c_13843438.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=10720
China,Hu Jintao,Kazakhstan,Astana,2011-06-12,12.6.2011,2011-06-15,15.6.2011,"President Hu Jintao Arrives in Kazakhstan for Visit, SCO Summit
, Chinese, Kazakh presidents hold talks on partnership, China, Kazakhstan issue statement on developing all-round strategic partnership, President Hu Jintao Meets with Kyrgyz Counterpart Otunbayeva, President Hu Jintao Meets with Iranian Counterpart Ahmadinejad, Chinese president urges Iran to resume dialogue with six nations as soon as possible, Chinese president meets Kyrgyz president on cooperation, Chinese, Tajik presidents meet on ties in Astana, Chinese president proposes measures to boost co-op with Kazakhstan, Chinese president: China-Iran friendly cooperation conducive to peace, stability in region, world, Chinese, Kyrgyz presidents call for deepening ties, Chinese, Iranian presidents discuss friendly cooperation, nuclear issue, Chinese president charts priorities for SCO's development",http://news.xinhuanet.com/english2010/china/2011-06/15/c_13931368.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=11219
China,Hu Jintao,Russia,St. Petersburg,2011-06-15,15.6.2011,2011-06-18,18.6.2011,"President Hu Jintao Arrives in Russia for State Visit and the St. Petersburg International Economic Forum, Chinese president arrives in Moscow to boost cooperation, President Hu Jintao Meets with Russian Prime Minister Putin, Chinese, Russian presidents hold talks on co-op, Hu calls for dedication to developing China-Russia partnership, China, Russia issue joint statement on major international issues, Chinese, Russian presidents meet for deepening strategic partnership, China, Sri Lanka vow to enhance cooperation, Chinese president calls for joint efforts to address world economic challenges, Chinese president wraps up state visit to Russia",http://news.xinhuanet.com/english2010/china/2011-06/18/c_13937036.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=11252
China,Hu Jintao,Ukraine,Kiev,2011-06-17,17.6.2011,2011-06-20,20.6.2011,"Yanukovych expects President Hu's visit to push Sino-Ukrainian ties to new high, Chinese president kicks off state visit to Ukraine, Chinese, Ukrainian presidents meet on ties, President Hu Jintao Meets with Ukrainian Parliament Speaker Lytvyn, President Hu Jintao Meets with Ukrainian Prime Minister Azarov
, President Hu Jintao Winds up Eurasia Tour and Returns Home
, Chinese, Ukrainian presidents hold talks on boosting bilateral ties, China, Ukraine clinch cooperation deals, Chinese president winds up Eurasia tour, Chinese president calls for closer cooperation with Ukraine",http://news.xinhuanet.com/english2010/china/2011-06/20/c_13940269.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=11265
China,Hu Jintao,Austria,Salzburg,2011-10-29,29.10.2011,2011-11-02,2.11.2011,"President Hu's Austria visit to boost bilateral ties, Chinese president arrives in Vienna for state visit to Austria, Hu Jintao Meets with Austrian National Council President Prammer, Hu Jintao Arrives in Salzburg to Continue His Austria Visit, Hu Jintao Meets with Austrian Federal Chancellor Faymann, Chinese President and his Austrian counterpart meet press in Vienna, Chinese President Hu Jintao visits the National Library of Austria, Chinese, Austrian presidents hold talks on closer ties, Chinese president meets Austrian top legislator, Chinese president presents proposal to enhance ties with Austria, Chinese president visits Mozart residence in Austria, Chinese president visits Austria for stronger ties, Chinese president continues Austria visit, tours farm near Salzburg, Chinese president leaves Salzburg for G20 summit in Cannes",http://news.xinhuanet.com/english2010/china/2011-11/02/c_131226043.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=12444
China,Hu Jintao,France,Cannes,2011-11-02,2.11.2011,2011-11-04,4.11.2011,"Hu Jintao Meets with His Brazilian Counterpart Rousseff, Hu Jintao Meets with His French Counterpart Sarkozy, Chinese president arrives in France for G20 summit, Chinese, Brazilian presidents meet on cooperation, Chinese president calls for global efforts to tackle economic woes, Hu Jintao Meets with U.S. President Obama, Chinese, Russian presidents meet in Cannes, Chinese president, other BRICS leaders meet ahead of G-20 summit, Chinese president, other G-20 leaders attend summit in Cannes, China makes more contributions to world economic growth: Hu, Chinese President Hu's speech at G20 Summit in Cannes, China pledges more help to other developing countries, Hu calls for joint efforts to promote growth, financial stability, Chinese and French leaders meet ahead of G20 summit, Hu addresses commodity prices, energy, food security in G-20 summit speech",http://news.xinhuanet.com/english2010/china/2011-11/04/c_131230254.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=12469
China,Hu Jintao,United States of America,Honolulu,2011-11-10,10.11.2011,2011-11-14,14.11.2011,"Chinese president meets U.S. business representatives on trade cooperation, Chinese president arrives in Hawaii for APEC meeting, Chinese president meets U.S. business representatives on trade cooperation
, Yang Jiechi and Chen Deming Attend the 23rd APEC Ministerial Meeting, Hu reaffirms support to Hong Kong's stability, prosperity, Hu reaffirms support to Hong Kong's stability, prosperity, Hu meets KMT honorary chairman in Hawaii, Chinese president calls for stronger ties with Peru, Hu Jintao Meets with Vietnamese President Truong Tan Sang, Hu Jintao Meets with Japanese Prime Minister Yoshihiko Noda, Hu Jintao Meets with Canadian Prime Minister Harper, Business leaders encouraged by Chinese president's speech at APEC CEO summit, Hu, Obama vow to further China-U.S. partnership, Business leaders encouraged by Chinese president's speech at APEC CEO summit, Chinese president, Canadian PM meet on advancing strategic partnership, China pledges to deepen economic restructuring, grow green economy, Chinese, Vietnamese presidents discuss bilateral ties, Chinese president meets Japanese PM on advancing bilateral ties, China pledges to deepen economic restructuring, grow green economy, Chinese, U.S. presidents meet in Hawaii on bilateral ties, Chinese president delivers keynote speech at APEC CEO summit, Chinese president outlines four-point proposal on Asia-Pacific economic development, Chinese, U.S. presidents meet in Hawaii on bilateral ties, Chinese president attends APEC meeting in Hawaii, Chinese president ends Hawaii trip after APEC meeting",http://news.xinhuanet.com/english2010/china/2011-11/15/c_131246595.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=12607
China,Hu Jintao,Brunei,Bandar Seri Begawan,2011-11-21,21.11.2011,2011-11-21,21.11.2011,"Chinese, Bruneian leaders pledge to enhance ties",http://news.xinhuanet.com/english2010/china/2011-11/21/c_131260861.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=12684
China,Hu Jintao,South Korea,Seoul,2012-03-25,25.3.2012,2012-03-28,28.3.2012,"Chinese president arrives in Seoul for Nuclear Security Summit, Chinese, South African presidents discuss bilateral cooperation, Chinese, South Korean presidents meet on ties, other issues, Chinese, U.S. presidents meet on ties, major issues, Chinese president delivers important speech at Seoul Nuclear Security Summit, President Hu elaborates on China's stand at Seoul Nuclear Security Summit, Chinese president leaves Seoul for BRICS summit in New Delhi",http://news.xinhuanet.com/english/china/2012-03/28/c_131493117.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=13932
China,Hu Jintao,India,New Delhi,2012-03-28,28.3.2012,2012-03-29,29.3.2012,"Chinese, Russian leaders meet on cooperation, Chinese president calls for promoting BRICS cooperation to new level, Chinese president meets Indian prime minister",http://news.xinhuanet.com/english/china/2012-03/30/c_122906924.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=13939
China,Hu Jintao,Cambodia,Siem Reap,2012-03-30,30.3.2012,2012-04-01,1.4.2012,"Chinese president starts visit to Cambodia, Chinese president, Cambodian PM agree to advance ties, Chinese president, Cambodian king discuss all-around cooperation, Chinese President attends welcome banquet hosted by Cambodian King, Chinese president inspects restoration work for Takeo in Angkor complex",http://news.xinhuanet.com/english/china/2012-04/02/c_131503434.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=13981
China,Hu Jintao,Denmark,Copenhagen,2012-06-14,14.6.2012,2012-06-16,16.6.2012,"President Hu arrives in Denmark for landmark visit, Chinese president, Danish PM witness signing of 11 cooperation documents, Chinese president's visit cements friendship, expands cooperation with Denmark: FM",http://news.xinhuanet.com/english/china/2012-06/17/c_123293575.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=14844
China,Hu Jintao,Mexico,Los Cabos,2012-06-16,16.6.2012,2012-06-20,20.6.2012,"Hu arrives in Los Cabos for G20 summit, Chinese, Ethiopian leaders discuss cooperation, Chinese, Mexican presidents meet on bilateral ties, State Councilor Dai Bingguo Meets with US President's National Security Advisor Donilon
, President Hu Jintao Attends BRICS Leaders Meeting, President Hu Jintao Attends the Seventh G20 Summit and Delivers an Important Speech
, President Hu Jintao Meets with French President Hollande, Chinese, Mexican presidents meet on ties, int'l issues, Chinese president meets German chancellor in Los Cabos, G20 summit starts, Chinese president expected to speak on growth, Chinese president calls for closer BRICS cooperation, G20 coordination, Hu Jintao Delivers Keynote Speech to the Seventh Leaders' Summit of the G20, Chinese, U.S. presidents meet on bilateral ties",http://news.xinhuanet.com/english/china/2012-06/20/c_131664190.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=14889
China,Hu Jintao,Russia,Vladivostok,2012-09-06,6.9.2012,2012-09-09,9.9.2012,"Hu Jintao arrives for #APEC forum in Vladivostok #Russia, Hu Jintao meets with Vladimir #Putin at #APEC forum in #Russia, Hu Jintao  meets President of #Vietnam in #Russia, #Hu Jintao announces #China to host 2014 #APEC economic leaders' meeting, Hu Jintao meets president of #Indonesia at #APEC forum in #Russia, Hu Jintao delivers key-note speech on infrastructure at #APEC CEO summit in #Russia, Hu Jintao met with Japanese Prime Minister and made clear #China's position on its relations with #Japan and the #Diaoyu Islands., Hu Jintao calls for strengthening food security, innovative growth at #APEC forum in #Russia, #APEC leaders discuss food security, innovative growth. #Russia #China, Hu Jintao and Prime Minister of #Canada discuss cooperation at #APEC forum in #Russia, Hu Jintao and president of #Chile attend free-trade agreement signing ceremony in #Russia",http://news.xinhuanet.com/english/photo/2012-09/09/c_131837888.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=15454
China,Xi Jinping,Russia,Moscow,2013-03-22,22.3.2013,2013-03-24,24.3.2013,"#China's new president arrives in Moscow for state visit #Russia, #Chinese, #Russian presidents vow to enhance comprehensive strategic cooperation, Visiting #Chinese President Xi welcomed by #Russian President Putin, Xi, top Russian legislator vow to enhance inter-parliamentary ties #China #Russia, Xi hopes #China, #Russia to boost military ties, #China, #Russia outline cooperation priorities, urge new type of great-power relations, Xi Jinping visits #Russia, meets with Vladimir Putin, makes push for tourism cooperation, Xi Jinping calls for closer #China-#Russia cultural bonds",http://news.xinhuanet.com/english/china/2013-03/25/c_124496967.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=16739
China,Xi Jinping,Tanzania,Dares Salaam,2013-03-24,24.3.2013,2013-03-25,25.3.2013,"Xi Jinping on state visit meets with president of #Tanzania, President Xi meets with #Zanzibar's president #China, Xi Jinping speaks on #Africa policy, pledges assistance, #China, #Tanzania issue joint communique on boosting friendly cooperation",http://news.xinhuanet.com/english/china/2013-03/25/c_132260936.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=16742
China,Xi Jinping,South Africa,Durban,2013-03-26,26.3.2013,2013-03-28,28.3.2013,"Chinese president attends welcome ceremony held by #S African counterpart #China, #China, #South Africa to prioritize bilateral ties in foreign policies, #China, #South Africa agree to boost ties, #Chinese President Xi meets with #Brazilian President Rousseff, #Chinese President Xi meets with #Indian PM Singh in Durban, #Chinese President Xi meets with #Egyptian President Morsi in Durban, #BRICS summit ends as leaders agree to establish development bank, Chinese President Xi Jinping attends 5th #BRICS Summit in #Durban #China, Chinese president calls for closer cooperation with #Uganda, #Mozambique, #Ethiopia #China, Xi Jinping pledges never-ending support for #Africa #China",http://news.xinhuanet.com/english/china/2013-03/28/c_124516973.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=16776
China,Xi Jinping,Dem. Rep. Congo,Brazzaville,2013-03-29,29.3.2013,2013-03-30,30.3.2013,"Chinese president arrives in Brazzaville for state visit #China #Congo, Chinese president pledges to enhance cooperation with Republic of #Congo, Africa #China, #China's new president concludes first foreign visit with fruitful results, Xi encourages Chinese doctors to help further improve #Africa's health care services #China",http://news.xinhuanet.com/english/china/2013-03/31/c_124523773.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=16791
China,Xi Jinping,Trinidad and Tobago,Port of Spain,2013-05-31,31.5.2013,2013-06-02,2.6.2013,"Chinese president says his visit to #Trinidad and Tobago to inject vitality into bilateral ties #China, Chinese president says his visit to #Trinidad and Tobago to inject vitality into bilateral ties, Xi calls for legislative exchanges between #China, #Trinidad and Tobago , #China, #Trinidad and Tobago pledge to bolster ties, Xi stresses friendship, cooperation in meeting with #Trinidad and Tobago president #China, Xi vows to advance ties with #Trinidad and Tobago #China, Chinese president urges more vigor for ties with #Caribbean nations #China #Guyana, Chinese president pledges closer cooperation with #Suriname, #Barbados #China, Chinese president urges more vigor for ties with #Caribbean nations #China",http://eng.mod.gov.cn/TopNews/2013-06/03/content_4454009.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=17271
China,Xi Jinping,Costa Rica,San Jose,2013-06-02,2.6.2013,2013-06-03,3.6.2013,"Chinese president arrives in #Costa Rica for state visit #China, Poverty elimination remains important task of Chinese government: President Xi #China #Costa Rica, Chinese, Costa Rican presidents discuss bilateral cooperation #China #Costa Rica",http://news.xinhuanet.com/english/china/2013-06/03/c_124805882.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=17275
China,Xi Jinping,Mexico,Mexico City,2013-06-04,4.6.2013,2013-06-05,5.6.2013,"Chinese, Mexican presidents discuss bilateral cooperation #China #Mexico , Chinese president awarded key to Mexico City #China #Mexico, Xi delivers speech on #China' ties with #Mexico, LatAm, Chinese president urges joint efforts to expand economic cooperation with #Mexico #China, Xi calls for more exchanges between Chinese, Mexican legislatures #China #Mexico",http://news.xinhuanet.com/english/china/2013-06/06/c_124818140.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=17300
China,Xi Jinping,United States of America,Rancho Mirage,2013-06-06,6.6.2013,2013-06-08,8.6.2013,"Chinese president arrives in California for summit with Obama, Xi Jinping and US President Obama Hold Joint Press Conference #China-#U.S, Xi, Obama meet for 1st summit #China #USA, Chinese president meets with governor of California in #U.S. #China, Xi Jinping  voices confidence in #China-USA cooperation during meeting with California Governor Edmund Brown, Xi Jinping and Barack Obama held the second meeting in California to exchange views on economic ties",http://news.xinhuanet.com/english/china/2013-06/09/c_124835914.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=17333
China,Xi Jinping,Turkmenistan,Mary,2013-09-03,3.9.2013,2013-09-04,4.9.2013,"Chinese president arrives in Ashkhabad, starts maiden trip to #Central Asia #China #Turkmenistan , Chinese, Turkmenian presidents discuss bilateral ties #China #Turkmenistan, #China, #Turkmenistan agree to promote energy cooperation, #China, #Turkmenistan complete first-phase construction of Galkynysh gas field #Turkmenistan #China",http://news.xinhuanet.com/english/china/2013-09/04/c_132691759.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=17899
China,Xi Jinping,Russia,St. Petersburg,2013-09-04,4.9.2013,2013-09-06,6.9.2013,"Chinese, Mexican presidents meet for third time this year #China #Mexico, Chinese president arrives in St. Petersburg for G20 summit #China #Russia, Chinese president calls for closer G20 partnership to boost world economy #Russia #China, Xi Jinping urged #the World Trade Organization (#WTO) to play a bigger role in safeguarding and consolidating a multilateral trade mechanism, #China, #Brazil vow to boost BRICS cooperation, Xi Jinping met with his Russian counterpart Vladimir Putin before the Group of 20 (G20) summit #China #Russia, Chinese, Argentine presidents vow to tap cooperation potential, Xi Jinping urged world's leading developed and developing economies to fight against trade protectionism, Chinese, U.S. presidents hold second meeting in three months #China #U.S, Chinese president urges political solution to Syrian crisis #Syria #China, Chinese president urges political solution to #Syrian crisis #China, Chinese president uses Newton's laws of motion to depict ties with #Germany #China, Xi Jinping said #China and #the United States of America have more cooperation areas than differences in the Asia-Pacific region during a meeting with his U.S. counterpart Barack Obama",http://news.xinhuanet.com/english/china/2013-09/06/c_132698985.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=17920
China,Xi Jinping,Kazakhstan,Matybulak Range,2013-09-07,7.9.2013,2013-09-09,9.9.2013,"Xi Jinping urged entrepreneurs from his country and Kazakhstan to boost cooperation #China #Kazakhstan, Xi Jinping discussed bilateral ties with the speaker of Kazakh Parliament's Lower House Nurlan Nigmatulin #China #Kazakhstan, #China, #Kazakhstan agree to boost security, law enforcement cooperation, #Kazakhstan hopes to ride on #China's boom: president",http://news.xinhuanet.com/english/china/2013-09/09/c_125345940.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=17953
China,Xi Jinping,Uzbekistan,Samarkand,2013-09-08,8.9.2013,2013-09-10,10.9.2013,"Chinese president arrives in Tashkent for Uzbekistan visit #China #Uzbekistan, Chinese president tables five-point proposal on cooperation with #Uzbekistan, Xi calls for closer #China-#Uzbekistan parliamentary exchanges, #China, #Uzbekistan vow to strengthen cultural exchanges, President Xi visits ancient observatory in Samarkand, #Uzbekistan #China",http://news.xinhuanet.com/english/photo/2013-09/10/c_132709383.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=17958
China,Xi Jinping,Kyrgyzstan,Bishkek,2013-09-10,10.9.2013,2013-09-13,13.9.2013,"Chinese president in #Kyrgyzstan for state visit, SCO summit #China, Chinese president calls for more trade between #China's Xinjiang, #Kyrgyzstan, Xi Jinping met with Kyrgyz Parliament Speaker Asylbek Zheenbekov and urged the two sides to further promote bilateral cooperation #China #Kyrgyzstan, #China, #Kyrgyzstan agree to boost cooperation on security, Chinese president meets Kyrgyz PM in Bishkek, #Kyrgyzstan #China, #China, #Kyrgyzstan vow to boost economic cooperation, #China willing to make constructive effort on Iranian nuke talks: president #Iran, Chinese, Mongolian presidents meet on promoting cooperation #Mongolia #China , Chinese, Tajik presidents agree to accelerate gas pipeline construction #Tajikistan #China , Chinese president raises proposal on #SCO cooperation #China, Xi Jinping attends 13th SCO summit in Bishkek, #Kyrgyzstan #China",http://news.xinhuanet.com/english/photo/2013-09/14/c_132719533.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=18001
China,Xi Jinping,Indonesia,Jakarta,2013-10-02,2.10.2013,2013-10-03,3.10.2013,"#China proposes establishing Asian infrastructure investment bank #Indonesia, Chinese, Indonesian presidents agree to lift ties to comprehensive strategic partnership, President Xi Jinping Visits a Photography Exhibition on Sino-Indonesian Friendship and Expects the Young People of the Two Countries to Build a Bridge of Friendship between the Chinese and Indonesian People #Chiha #Indonesia, Chinese president stresses peaceful solution to South #China Sea disputes, #China, #Indonesia call for efforts to maintain peace in South China Sea, #China, #Indonesia aim for 80 bln dollars in bilateral trade by 2015, Chinese, Indonesian presidents chart course of future bilateral cooperation #China #Indonesia",http://news.xinhuanet.com/english/china/2013-10/04/c_132771091.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=18142
China,Xi Jinping,Malaysia,Kuala Lumpur,2013-10-03,3.10.2013,2013-10-04,4.10.2013,"Chinese president arrives in Kuala Lumpur for state visit #China #Malaysia, Chinese president addresses #China-#Malaysia Economic Summit, Xi addresses welcoming luncheon hosted by overseas #Chinese in Kuala Lumpur #China, Welcoming ceremony held for visiting Chinese president in #Malaysia #China, #China ready to work with #Malaysia for more fruitful ties: Xi, Xi Jinping metets with Malaysian Prime Minister Najib Razak",http://news.xinhuanet.com/english/china/2013-10/04/c_132772103.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=18148
China,Xi Jinping,Indonesia,Bali,2013-10-05,5.10.2013,2013-10-08,8.10.2013,"#Chinese president arrives in Bali island for #APEC meeting, #China, #Thailand vow to advance bilateral, China-ASEAN ties, China, Chile pledge to further cooperation, Chinese president says central gov't support to #Hong Kong consistent, firm #China, #China, #New Zealand pledge to further ties, cooperation, Chinese, Australian leaders pledge to boost ties #China #Australia, Xi meets Taiwan politician ahead of APEC gathering, #China committed to regional peace, development: Xi Jinping, #China to join #Russia in maintaining security in Asia-Pacific: Xi, Group photo of leaders and their spouses at #APEC summit meeting, Chinese president urges efforts to boost FTA talks with #S. Korea #China, Chinese president warns against patchy global trade regime #China #APEC, Xi Jinping said that #the Asia-Pacific Economic Cooperation (#APEC) should play a leading role in maintaining and advancing an open world economy #China, #China sticks to denuclearization of #Korean Peninsula, Chinese president says #South Korea, Chinese president urges developing connectivity in #Asia Pacific #China",http://news.xinhuanet.com/english/china/2013-10/08/c_132780065.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=18194
China,Xi Jinping,Russia,Sochi,2014-02-06,6.2.2014,2014-02-08,8.2.2014,"Chinese president meets #IOC president #China, Chinese, Russian presidents hold talks on bilateral ties #Russia #China, Xi, Putin hail Chinese, Russian sailors escorting Syrian chemical weapons shipments #China #Russia, Chinese president, UN chief vow to promote world peace, development, Chinese, Greek presidents eye enhanced cooperation #China #Greece, Xi gives interview to Russian TV on multiple topics #Russia #China, Sochi Winter Olympics opens, Chinese president attends opening ceremony #Russia #China, Chinese, Czech presidents pledge to expand cooperation #China #the Czechia, Chinese, Afghan presidents agree to promote ties #Russia #China, Xi boosts Chinese athletes' morale in Sochi #China #Russia, Xi hails development of #China-#Russia ties",http://news.xinhuanet.com/english/china/2014-02/09/c_133100705.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=19057
